Sweep 1, Vstart, 0, Vstop, 1, Vstep, 0.1
Sweep 2, Vstart, 0, Vstop, 2, Vstep, 0.1
Sweep 3, Vstart, 0, Vstop, -1.5, Vstep, 0.1
Sweep 4, Vstart, 0, Vstop, -0.5, Vstep, 0.1
Voltage,Current
0,-1.072048E-08
0.1,+6.600920E-09
0.2,+2.450044E-08
0.3,+4.211264E-08
0.4,+6.046101E-08
0.5,+7.758057E-08
0.6,+9.570231E-08
0.7,+1.132198E-07
0.8,+1.314439E-07
0.9,+1.491430E-07
1,+1.665623E-07
0,-1.356768E-08
0.1,+4.170001E-09
0.2,+2.197723E-08
0.3,+3.992854E-08
0.4,+5.782113E-08
0.5,+7.489818E-08
0.6,+9.313139E-08
0.7,+1.107584E-07
0.8,+1.284404E-07
0.9,+1.458722E-07
1,+1.642146E-07
1.1,+1.813123E-07
1.2,+1.989264E-07
1.3,+2.176586E-07
1.4,+2.354163E-07
1.5,+2.531191E-07
1.6,+2.707432E-07
1.7,+2.884198E-07
1.8,+3.069796E-07
1.9,+3.253509E-07
2,+3.431263E-07
